Command,OnOff,START RAMP IN,DURATION RAMP IN,START RAMP OUT,DURATION RAMP OUT
M_ALU,OFF,,,,
M_LU,ON,4:00,1,7:00,1
M_S,ON,7:00,1,8:00,1
M_CP,OFF,,,,
M_GE,OFF,,,,
E_ALU,ON,9:00,1,12:00,1
E_LU,OFF,,,,
E_S,OFF,,,,
E_CP,ON,14:00,1,16:00,1
E_GE,ON,18:00,1,21:00,1
